date,hour_of_day,location,district,area_name,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity,economical_situation,education_level,crime_type,latitude,longitude,time_of_day,day_of_week,month,season,victim_age_group,perpetrator_age_group,weather_condition,economic_index,education_index
2021-10-17,2,Ghondi Kalay,Zhar,Ghondi Kalay,Female,43,Female,6,Knife,Fatal,Snowy,4.282932276940457,Driving,Medium,Secondary,kill,31.5323,65.35742,Night,Sunday,October,Summer,Senior,Teen,Dry,79.05816353182385,30.831158776550506
2020-06-12,3,Karaiz Usman,Kharkrez,Karaiz Usman,Female,25,Female,87,Knife,None,Clear,17.758138401566008,Working,Low,Secondary,Theft,32.18836,65.56612,Evening,Friday,June,Winter,Senior,Adult,Dry,29.381859428449985,27.852305950932
2020-11-01,23,Haji Khail Karaiz,Maywand,Haji Khail Karaiz,Female,30,Male,67,None,Minor,Rainy,25.66907246624345,Walking,High,Primary,kill,31.54848,64.9034,Morning,Sunday,November,Winter,Child,Adult,Dry,27.42777885346188,98.69580927773929
2020-07-23,4,Patkay Hulya,Arghistan,Patkay Hulya,Male,90,Female,59,Gun,Severe,Clear,9.470366603159974,Shopping,Low,Primary,kill,31.38761,66.12366,Morning,Thursday,July,Winter,Senior,Child,Dry,91.48936144720741,40.23221944150374
2023-12-26,4,Shaikh Chala Sufla,Arghandab,Shaikh Chala Sufla,Female,67,Male,63,None,Minor,Snowy,-2.6098167662337435,Shopping,Medium,Secondary,kill,31.69213,65.66889,Morning,Tuesday,December,Spring,Senior,Teen,Wet,70.6266856814719,14.110106084779073
2020-06-10,11,Dab Karaiz,Maywand,Dab Karaiz,Male,61,Male,93,None,Severe,Rainy,17.801546828755413,Working,High,Tertiary,Theft,31.89854,64.81437,Morning,Wednesday,June,Fall,Adult,Adult,Dry,0.10099074634405403,80.76218594867834
2022-11-25,12,Sar Push,Kharkrez,Sar Push,Male,4,Female,60,None,Severe,Snowy,-3.9823534752521175,Walking,Medium,Primary,kill,31.93655,65.46175,Night,Friday,November,Fall,Teen,Adult,Wet,74.10362373887142,38.12840704279105
2023-07-05,2,Abdul Qadir Isahq Ghat Kalay,Maruf,Abdul Qadir Isahq Ghat Kalay,Female,7,Female,56,Gun,Severe,Rainy,4.734281271115336,Working,Low,None,Theft,31.51428,67.46256,Night,Wednesday,July,Summer,Adult,Adult,Dry,82.44610611754845,81.69996593566992
2020-06-21,1,Akhtar Zai Noor Mohammad Kalay,Arghistan,Akhtar Zai Noor Mohammad Kalay,Female,46,Male,12,Knife,None,Snowy,8.993975511390417,Shopping,Medium,None,Theft,31.32958,66.16542,Afternoon,Sunday,June,Summer,Senior,Senior,Wet,84.43685434088671,61.213377810147065
2020-12-31,20,Mullah Khel Qala Rashid,Maruf,Mullah Khel Qala Rashid,Female,32,Male,50,Knife,Fatal,Cloudy,-6.8946986137764865,Walking,Medium,Primary,kill,31.5132,67.50817,Morning,Thursday,December,Spring,Adult,Child,Dry,1.0199178077427207,27.946335380852805
