date,hour_of_day,location,victim_gender,victim_age,perpetrator_gender,perpetrator_age,weapon,injury,weather,temperature,previous_activity,economical_situation,education_level,crime_type,time_of_day,day_of_week,month,season,victim_age_group,perpetrator_age_group,weather_condition,economic_index,education_index
2020-10-14,23,Shah Wali Kot,Male,97,Female,95,None,Severe,Rainy,18.699471810269543,Working,High,None,Theft,Afternoon,Wednesday,October,Spring,Child,Child,Wet,51.01496062848692,2.041212695812966
2023-09-02,20,Nesh,Male,87,Male,37,None,None,Clear,24.277682749839798,Walking,High,Secondary,Theft,Afternoon,Saturday,September,Summer,Adult,Adult,Wet,85.26709800828624,12.973116856617528
2020-09-23,18,Kharkrez,Male,5,Male,13,Gun,Minor,Rainy,4.493227913377627,Walking,Medium,Primary,Theft,Night,Wednesday,September,Fall,Teen,Teen,Dry,43.75578966644138,7.447664783244723
2023-05-21,7,Shah Wali Kot,Male,15,Female,37,Gun,None,Rainy,10.626708333358096,Driving,High,None,Kill,Evening,Sunday,May,Summer,Child,Child,Dry,92.34344938560308,56.707125968338154
2021-01-25,17,Spin Boldak,Female,10,Female,41,None,Fatal,Cloudy,32.795434733419114,Working,Medium,Secondary,Kill,Night,Monday,January,Winter,Adult,Adult,Wet,64.55489613748666,2.9486666051187216
2022-07-22,6,Daman,Male,2,Female,86,None,Fatal,Cloudy,-4.510243991704012,Walking,High,Primary,Kill,Night,Friday,July,Summer,Adult,Child,Dry,79.08426421337647,51.351363168378114
2021-12-11,15,Reag,Male,19,Female,67,Knife,None,Clear,27.629802750636834,Walking,Low,Tertiary,Theft,Evening,Saturday,December,Summer,Teen,Adult,Dry,0.5475638447228981,47.26756813236437
2020-06-19,9,Daman,Male,78,Male,52,Other,Minor,Clear,0.41485894185319516,Walking,High,None,Theft,Night,Friday,June,Winter,Senior,Child,Dry,91.21804652879179,91.17592582306725
2020-01-23,7,Center,Male,35,Female,35,Other,Minor,Snowy,22.18910466442707,Working,Medium,Tertiary,Kill,Afternoon,Thursday,January,Fall,Senior,Child,Wet,44.84002698109709,16.223781038403086
2022-01-25,6,Maywand,Male,63,Male,94,Knife,Minor,Clear,25.13305325548636,Walking,High,Tertiary,Theft,Night,Tuesday,January,Spring,Adult,Adult,Dry,65.48308248807166,17.54079917696345
2021-06-09,5,Maywand,Male,5,Male,35,Gun,None,Clear,28.335997455383108,Walking,High,Primary,Theft,Morning,Wednesday,June,Fall,Adult,Teen,Dry,54.75083872897252,18.649333459828455
2020-11-22,9,Center,Female,13,Female,13,Other,Severe,Rainy,17.89179058664318,Working,Medium,Tertiary,Theft,Morning,Sunday,November,Summer,Teen,Teen,Wet,65.78727497836692,42.91556631897748
2023-01-08,11,Spin Boldak,Male,6,Female,11,Knife,Minor,Clear,1.505998054639388,Shopping,High,Primary,Kill,Afternoon,Sunday,January,Winter,Adult,Teen,Dry,90.32445953927282,30.90743402403713
2022-09-08,18,Daman,Male,81,Male,76,Gun,Fatal,Snowy,-6.74143888652762,Working,Low,Secondary,Kill,Afternoon,Thursday,September,Spring,Teen,Senior,Wet,41.45634472519826,15.888412193585566
2023-10-07,11,Maruf,Male,33,Female,83,Gun,Fatal,Rainy,-8.92378696937692,Shopping,Low,Primary,Theft,Afternoon,Saturday,October,Fall,Adult,Adult,Wet,49.87837216283586,92.2485982181207
2023-05-02,21,Zhari,Female,20,Male,83,Knife,None,Rainy,27.272648703270193,Driving,Low,Tertiary,Kill,Night,Tuesday,May,Summer,Senior,Child,Dry,70.57449336039333,86.8759676186886
2020-02-22,10,Shah Wali Kot,Female,36,Female,35,Gun,Minor,Snowy,25.035647981868713,Working,Medium,Tertiary,Kill,Afternoon,Saturday,February,Winter,Teen,Senior,Dry,44.541185895133104,69.84175864964249
2020-10-27,14,Zhari,Male,100,Male,93,None,None,Snowy,29.50175596909056,Shopping,High,Primary,Kill,Afternoon,Tuesday,October,Fall,Adult,Adult,Wet,5.942378838706275,50.61257839419212
2020-05-19,22,Maywand,Female,80,Male,91,Other,None,Rainy,13.053078374760936,Driving,Medium,Tertiary,Theft,Afternoon,Tuesday,May,Summer,Child,Child,Dry,14.353179706422326,1.2669004820965335
2020-01-21,9,Zhari,Female,3,Female,83,Other,Minor,Cloudy,-8.214930998455351,Working,High,None,Kill,Afternoon,Tuesday,January,Spring,Teen,Child,Dry,57.126494139569296,84.94592481320669
2020-05-07,1,Center,Male,79,Female,97,Gun,Minor,Rainy,18.90398596868375,Driving,Low,Tertiary,Kill,Evening,Thursday,May,Summer,Teen,Teen,Dry,65.96847702758292,91.36084082606976
2022-08-25,4,Maruf,Female,83,Female,20,Gun,Fatal,Rainy,36.12589669416547,Walking,Medium,Tertiary,Theft,Evening,Thursday,August,Fall,Adult,Adult,Wet,23.37832333916471,46.63963271657007
2022-03-11,10,Panjwayi,Male,77,Male,94,None,None,Cloudy,2.7354249534254222,Working,High,Tertiary,Theft,Evening,Friday,March,Fall,Adult,Adult,Dry,32.46148238271612,26.969868643192385
2021-09-29,20,Arghistan,Female,53,Male,62,Knife,Minor,Snowy,-5.087372651445367,Walking,Medium,Primary,Kill,Night,Wednesday,September,Winter,Child,Senior,Dry,64.95397316038361,37.67038429506735
2020-05-25,1,Spin Boldak,Male,52,Male,95,Gun,Minor,Cloudy,1.3774986393382012,Driving,High,Secondary,Kill,Afternoon,Monday,May,Fall,Teen,Adult,Wet,1.5031722796473468,35.908602189775216
2022-04-13,24,Shah Wali Kot,Female,52,Female,49,None,Minor,Cloudy,19.68593959668774,Walking,Medium,Tertiary,Kill,Morning,Wednesday,April,Fall,Teen,Teen,Wet,92.46411712078041,85.75465526674307
2020-03-06,18,Arghistan,Female,19,Female,87,Knife,Minor,Clear,-2.9547055948248433,Driving,Low,Tertiary,Kill,Morning,Friday,March,Summer,Senior,Adult,Wet,61.44104193724749,95.0477457999074
2021-10-15,11,Daman,Female,70,Male,17,Knife,None,Snowy,18.58688089193778,Driving,Medium,None,Kill,Afternoon,Friday,October,Winter,Senior,Child,Wet,38.18925179363545,26.55087731331015
2022-01-06,7,Spin Boldak,Male,1,Female,10,Knife,None,Rainy,35.525905284822684,Driving,High,Secondary,Kill,Night,Thursday,January,Spring,Child,Child,Wet,37.17369642983608,92.67373782076595
2020-09-09,5,Kharkrez,Male,34,Male,46,Knife,Severe,Clear,25.05671400866106,Driving,Low,Primary,Theft,Morning,Wednesday,September,Spring,Senior,Senior,Dry,48.48420367120935,88.25148391175559
2021-01-28,21,Center,Male,39,Female,16,Knife,Fatal,Snowy,12.16269214399641,Walking,Low,Secondary,Theft,Evening,Thursday,January,Fall,Teen,Child,Dry,93.91403299955142,44.19653972414459
